id,type,name,description
1,C001,Advanced Performance,"Advanced swimming course focused on long-term performance optimization, including stroke refinement and endurance development."
2,C002,Intermediate Skills,"Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency."
3,C003,Beginner Foundations,"Beginner course introducing essential water safety, floating, and basic swimming movements."
4,C004,Adaptive Mobility,"Adaptive swimming course supporting mobility and confidence through personalized instruction."
5,C005,Mixed Progression,"Mixed-level course offering structured development tailored to different skill levels."
6,C006,Children Basics,"Children’s course focused on building water confidence and fundamental swimming abilities."
7,C007,Senior Wellness,"Senior swimming course promoting mobility, flexibility, and cardiovascular health."
8,C008,Triathlon Prep,"Triathlon-focused course emphasizing endurance, pacing, and open-water techniques."
9,C009,Aqua Fitness Core,"Water fitness course aimed at improving strength, flexibility, and endurance."
10,C010,Private Coaching,"Individual swimming course tailored to personal goals and learning pace."
11,C011,Life Saving Essentials,"Course focused on rescue techniques, prevention, and water safety awareness."
12,C012,Open Water Skills,"Course preparing participants for safe swimming in natural environments."
13,C013,Recreational Swim,"Course designed for relaxed swimming and maintaining general fitness."
14,C014,Competitive Edge,"Course focused on preparing swimmers for competitions and performance tracking."
15,C015,Technique Mastery,"Course dedicated to refining stroke mechanics and movement efficiency."
16,C016,Endurance Builder,"Course aimed at increasing stamina and long-distance swimming capacity."
17,C017,Sprint Development,"Course focused on speed, explosive starts, and short-distance performance."
18,C018,Family Swim,"Course designed for families to learn and practice swimming together."
19,C019,Therapeutic Water,"Course supporting rehabilitation and recovery through aquatic exercises."
20,C020,Advanced Control,"Advanced-level course focusing on precision and efficiency in swimming techniques."
21,C021,Intermediate Flow,"Intermediate program enhancing rhythm, coordination, and breathing patterns."
22,C022,Beginner Comfort,"Introductory course focused on building confidence and comfort in water."
23,C023,Adaptive Support,"Inclusive course tailored to individual abilities and progression needs."
24,C024,Mixed Training,"Course offering flexible progression for diverse skill levels in one group."
25,C025,Children Progress,"Children’s program focused on gradual skill improvement and safety."
26,C026,Senior Active,"Course designed to maintain activity levels and overall health in seniors."
27,C027,Triathlon Endurance,"Course aimed at improving stamina and race preparation for triathletes."
28,C028,Aqua Strength,"Fitness course focused on resistance training and muscle development in water."
29,C029,Private Intensive,"One-on-one training program designed for rapid skill improvement."
30,C030,Rescue Training,"Course covering practical rescue scenarios and emergency response techniques."
31,C031,Open Water Confidence,"Course building confidence and adaptability in outdoor swimming conditions."
32,C032,Leisure Swim,"Course focused on enjoyment, relaxation, and light physical activity."
33,C033,Competition Training,"Structured training program preparing swimmers for competitive events."
34,C034,Stroke Precision,"Course focusing on detailed improvement of all swimming strokes."
35,C035,Distance Swim,"Course designed to enhance long-distance swimming capabilities."
36,C036,Speed Training,"Course aimed at improving sprint performance and reaction time."
37,C037,Family Activity,"Course encouraging family participation in safe aquatic exercises."
38,C038,Rehab Swim,"Course supporting physical recovery and therapeutic movement in water."
39,C039,Elite Advanced,"High-level course designed for experienced swimmers seeking peak performance."
40,C040,Intermediate Plus,"Course bridging intermediate and advanced skills with structured progression."
41,C041,Beginner Start,"Entry-level course introducing fundamental swimming concepts step by step."
42,C042,Adaptive Care,"Course focused on accessibility and individualized support in aquatic environments."
43,C043,Group Mixed,"Group course designed for participants with varied experience levels."
44,C044,Kids Development,"Children’s development program focused on technique and confidence."
45,C045,Senior Balance,"Course aimed at improving balance and coordination in seniors."
46,C046,Triathlon Technique,"Course focused on refining freestyle technique for triathlon performance."
47,C047,Aqua Conditioning,"Course combining conditioning exercises and swimming drills."
48,C048,Private Advanced,"Advanced one-on-one coaching focused on performance optimization."
49,C049,Safety Mastery,"Comprehensive course covering water safety and preventive techniques."
50,C050,Open Water Advanced,"Advanced course focusing on navigation and endurance in natural water settings."