id,description,swimming_school_id,instructor_id,date_start,date_end,price,times_per_week,max_num_of_participants,num_of_classes,is_multisport_accepted,is_enrollable
1,"Advanced swimming course focused on long-term performance optimization, including stroke refinement and endurance development.",30,3146,2019-09-10,2019-09-17,100,1,20,1,1,1
2,"Intermediate course designed to improve coordination, breathing control, and overall swimming efficiency.",28,485,2020-08-26,2020-09-23,1600,4,20,16,1,1
3,"Beginner course introducing essential water safety, floating, and basic swimming movements.",41,142,2021-03-08,2021-03-29,900,3,10,9,1,1
4,Adaptive swimming course supporting mobility and confidence through personalized instruction.,29,627,2013-09-10,2013-10-08,400,1,10,4,1,1
5,Mixed-level course offering structured development tailored to different skill levels.,36,3079,1997-12-02,1997-12-30,400,1,15,4,1,1
6,Children’s course focused on building water confidence and fundamental swimming abilities.,26,4783,2004-11-08,2004-11-15,200,2,10,2,1,1
7,"Senior swimming course promoting mobility, flexibility, and cardiovascular health.",16,3710,2021-08-28,2021-09-18,300,1,20,3,1,1
8,"Triathlon-focused course emphasizing endurance, pacing, and open-water techniques.",34,608,2024-07-30,2024-08-20,600,2,10,6,1,1
9,"Water fitness course aimed at improving strength, flexibility, and endurance.",30,614,2020-07-21,2020-08-18,1200,3,10,12,1,1
10,Individual swimming course tailored to personal goals and learning pace.,13,1217,2012-07-08,2012-07-29,300,1,20,3,1,1
11,"Course focused on rescue techniques, prevention, and water safety awareness.",2,1806,2024-04-05,2024-04-26,1200,4,20,12,1,1
12,Course preparing participants for safe swimming in natural environments.,43,1687,2010-09-16,2010-10-14,800,2,15,8,1,1
13,Course designed for relaxed swimming and maintaining general fitness.,32,4118,2014-03-30,2014-04-13,200,1,20,2,1,1
14,Course focused on preparing swimmers for competitions and performance tracking.,34,3910,2022-04-13,2022-05-04,1200,4,15,12,1,1
15,Course dedicated to refining stroke mechanics and movement efficiency.,11,435,2008-02-12,2008-03-11,800,2,15,8,0,1
16,Course aimed at increasing stamina and long-distance swimming capacity.,32,3387,2022-01-02,2022-01-23,900,3,15,9,1,1
17,"Course focused on speed, explosive starts, and short-distance performance.",16,205,2019-04-10,2019-05-08,1600,4,20,16,1,1
18,Course designed for families to learn and practice swimming together.,23,2486,2020-12-09,2020-12-23,600,3,10,6,1,1
19,Course supporting rehabilitation and recovery through aquatic exercises.,11,3802,2022-12-19,2022-12-26,200,2,20,2,1,1
20,Advanced-level course focusing on precision and efficiency in swimming techniques.,45,3464,2022-10-14,2022-10-21,100,1,20,1,1,1
21,"Intermediate program enhancing rhythm, coordination, and breathing patterns.",35,1509,2008-02-03,2008-02-10,200,2,20,2,1,1
22,Introductory course focused on building confidence and comfort in water.,19,3187,2009-05-13,2009-06-10,1600,4,10,16,1,1
23,Inclusive course tailored to individual abilities and progression needs.,44,4250,2019-06-17,2019-06-24,300,3,20,3,1,1
24,Course offering flexible progression for diverse skill levels in one group.,48,4821,2019-04-10,2019-05-01,600,2,10,6,1,1
25,Children’s program focused on gradual skill improvement and safety.,8,3151,2017-12-31,2018-01-14,400,2,10,4,1,1
26,Course designed to maintain activity levels and overall health in seniors.,18,3496,2014-05-12,2014-06-02,300,1,10,3,1,1
27,Course aimed at improving stamina and race preparation for triathletes.,49,285,2024-12-31,2025-01-07,200,2,10,2,1,1
28,Fitness course focused on resistance training and muscle development in water.,12,4738,2020-03-01,2020-03-29,800,2,20,8,1,1
29,One-on-one training program designed for rapid skill improvement.,16,3080,2012-01-11,2012-01-25,200,1,15,2,1,1
30,Course covering practical rescue scenarios and emergency response techniques.,48,3704,2022-08-12,2022-08-19,300,3,10,3,1,1
31,Course building confidence and adaptability in outdoor swimming conditions.,10,2196,2023-07-11,2023-07-25,600,3,20,6,1,1
32,"Course focused on enjoyment, relaxation, and light physical activity.",18,3593,2023-02-03,2023-02-24,300,1,15,3,1,1
33,Structured training program preparing swimmers for competitive events.,23,2445,2021-07-13,2021-07-27,800,4,20,8,0,1
34,Course focusing on detailed improvement of all swimming strokes.,47,23,1996-09-03,1996-10-01,1600,4,20,16,1,1
35,Course designed to enhance long-distance swimming capabilities.,31,4486,2024-05-04,2024-05-11,100,1,20,1,1,1
36,Course aimed at improving sprint performance and reaction time.,22,4700,2016-10-13,2016-11-10,800,2,20,8,1,1
37,Course encouraging family participation in safe aquatic exercises.,16,4811,2009-06-01,2009-06-29,400,1,10,4,1,1
38,Course supporting physical recovery and therapeutic movement in water.,33,463,2021-08-31,2021-09-28,1200,3,20,12,1,1
39,High-level course designed for experienced swimmers seeking peak performance.,1,432,2024-01-07,2024-01-21,200,1,10,2,1,1
40,Course bridging intermediate and advanced skills with structured progression.,11,1415,2012-02-28,2012-03-06,300,3,15,3,1,1
41,Entry-level course introducing fundamental swimming concepts step by step.,43,1525,2009-12-27,2010-01-03,200,2,20,2,1,1
42,Course focused on accessibility and individualized support in aquatic environments.,32,4818,2015-10-14,2015-11-11,1200,3,10,12,1,1
43,Group course designed for participants with varied experience levels.,36,4327,2017-12-14,2017-12-21,400,4,20,4,1,1
44,Children’s development program focused on technique and confidence.,13,3267,2014-11-27,2014-12-18,900,3,20,9,1,1
45,Course aimed at improving balance and coordination in seniors.,36,3006,2015-07-02,2015-07-23,1200,4,20,12,1,1
46,Course focused on refining freestyle technique for triathlon performance.,2,10,2024-04-21,2024-04-28,100,1,10,1,0,1
47,Course combining conditioning exercises and swimming drills.,4,2111,2017-10-25,2017-11-01,200,2,10,2,1,1
48,Advanced one-on-one coaching focused on performance optimization.,9,917,2006-04-30,2006-05-28,1600,4,10,16,1,1
49,Comprehensive course covering water safety and preventive techniques.,6,207,2024-09-01,2024-09-15,600,3,10,6,1,1
50,Advanced course focusing on navigation and endurance in natural water settings.,46,1980,2019-02-11,2019-03-11,1600,4,20,16,1,1
